"10/25/2023, 19:43:23"
0,0,0
1,800,-319
2,800,-319
3,800,-319
4,800,-319
5,800,-319
6,800,-333
7,800,-338
8,800,-338
9,800,-305
10,800,-249
11,800,-255
12,800,-257
13,800,-339
14,800,-315
15,800,-310
16,800,-306
17,800,-291
18,800,-321
19,800,-318
20,800,-319
21,800,-319
22,800,-319
23,800,-319
"10/26/2023, 20:35:11"
0,0,0
"10/26/2023, 20:40:32"
0,0,0
"10/26/2023, 20:41:11"
0,0,0
1,1,0
"10/26/2023, 20:42:02"
0,0,0
1,800,-79
2,800,-87
"10/26/2023, 20:48:00"
0,0,0
"10/26/2023, 20:48:25"
0,0,0
1,800,-78
"10/26/2023, 20:50:00"
0,0,0
1,800,-78
2,800,-78
3,800,-84
4,800,-77
5,800,-77
6,800,-76
7,800,-77
8,800,-76
9,800,-79
10,800,-78
11,800,-51
12,800,-78
13,800,-77
14,800,-76
15,800,-78
"10/26/2023, 21:01:25"
0,0,0
1,800,-77
2,800,-79
3,800,-78
"10/26/2023, 21:04:20"
0,0,0
1,800,-78
2,800,-78
3,800,-77
"10/26/2023, 21:09:26"
0,0,0
"10/26/2023, 21:10:12"
0,0,0
"10/26/2023, 21:11:03"
0,0,0
1,20,-1
2,20,-1
3,20,-1
4,20,-1
5,20,-1
6,20,-1
7,20,-1
8,20,-1
9,20,-1
10,20,-1
11,20,-1
12,20,-1
13,20,-1
14,20,-1
15,20,-1
16,20,-1
17,20,-1
18,20,-1
19,20,-1
20,20,-1
21,20,-1
22,20,-1
23,20,-1
24,20,-1
25,20,-1
26,20,-1
27,20,-1
28,20,-1
29,20,-1
30,20,-1
31,20,-1
32,20,-1
33,20,-1
34,20,-1
35,20,-1
36,20,-1
"10/26/2023, 21:12:33"
0,0,0
1,800,-67
"10/26/2023, 21:16:21"
0,0,0
1,800,-73
"10/26/2023, 21:17:56"
0,0,0
1,20,-1
2,20,-1
3,20,-1
4,20,-1
5,20,-1
6,20,-1
7,20,-1
8,20,-1
9,20,-1
10,20,-1
11,20,-1
12,20,-1
"10/26/2023, 21:20:59"
0,0,0
1,1,0
"10/26/2023, 21:21:32"
0,0,0
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
9,20,0
10,20,0
11,20,0
12,20,0
13,20,0
14,20,0
15,20,0
16,20,0
17,20,0
18,20,0
19,20,0
20,20,0
21,20,0
22,20,0
23,20,0
24,20,0
25,20,0
26,20,0
27,20,0
28,20,0
29,20,0
"10/26/2023, 21:23:24"
0,0,0
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
9,20,0
10,20,0
"10/26/2023, 21:25:48"
0,0,0
1,800,0
"10/26/2023, 21:29:33"
0,0,0
1,20,0
2,20,0
3,20,0
4,20,0
5,20,0
6,20,0
7,20,0
8,20,0
"10/26/2023, 21:30:56"
0,0,0
1,800,0
"10/26/2023, 21:33:13"
0,0,0
"10/26/2023, 21:35:40"
0,0,0
"10/26/2023, 21:39:46"
0,0,0
"10/26/2023, 21:42:20"
0,0,0
1,1,0
"10/26/2023, 21:42:40"
0,0,0
"10/26/2023, 21:45:09"
0,0,0
"10/26/2023, 21:47:37"
0,0,0
1,80,0
2,80,0
"10/26/2023, 21:50:38"
0,0,0
"10/26/2023, 21:53:08"
0,0,0
"10/26/2023, 21:53:43"
0,0,0
"10/26/2023, 21:54:56"
0,0,0
"10/26/2023, 21:56:00"
0,0,0
"10/26/2023, 21:58:06"
0,0,0
1,1,0
"10/26/2023, 21:59:44"
0,0,0
1,1,0
"10/26/2023, 22:00:52"
0,0,0
"10/26/2023, 22:02:42"
0,0,0
1,1,0
"10/26/2023, 22:03:48"
0,0,0
"10/26/2023, 22:05:00"
0,0,0
